mapid	tags	description
_ansgar_2021_01	germany,cologne,education,points	Decided to use Cologne, the place I live, as a common theme throughout the challenges. Points show the locations of kindergartens & day care centers in Cologne.
_ansgar_2021_02	germany,cologne,rivers,lines	The river course of the Rhine, crossing Cologne (#Köln) at Rheinkilometer 688.
_ansgar_2021_03	germany,cologne,sport,voronoi	I recreated @VictimOfMaths's idea of using Voronoi tesselation to find the nearest (semi-)professional football team for each point in Cologne (#Köln), adding the club logos (SVGs).
_ansgar_2021_04	germany,cologne,education,hexagons,grid,choropleth	Opening times / availabilities of kindergardens in Cologne (#Köln)
_ansgar_2021_05	germany,cologne,lines,transport,cycling,osm,openstreetmap	Bike Lanes in Cologne, Germany (#Köln)
_ansgar_2021_06	germany,cologne,tiles,cartogram,politics,elections,red	A tile grid map of vote shares of the Social Democrats (#SPD) in the German Federal Election 2021 (#Bundestagswahl) in each district in Cologne. (left = first vote, right = second vote)
_ansgar_2021_07	germany,cologne,tiles,cartogram,politics,elections,green	Vote shares of the Green Party (#Gruenen) in the German Federal Election 2021 (#Bundestagswahl) in each district in Cologne.
_ansgar_2021_08	germany,cologne,choropleth,housing,blue	Average housing space in the districts of Cologne (#Köln).
_ansgar_2021_09_1	germany,cologne,lines,roads,black and white,osm,openstreetmap	Streets of Cologne (#Köln)
_ansgar_2021_09_2	germany,cologne,buildings,black and white,osm,openstreetmap	A map with all buildings in Cologne, Germany (#Köln)
_ansgar_2021_11	germany,cologne,politics,elections,3d,animation	Voter turnout in the Federal Election 2021 (#Bundestagswahl) in each district in Cologne (#Köln)
_ansgar_2021_12	world,cartogram,dorling,animated	Cologne (#Köln) residents by country of birth outside Germany as of 2014. The view is morphing between a Mollweide projection, a contiguous cartogram and a Dorling cartogram using {gganimate} 📦
_ansgar_2021_13	rhine,rivers	The river course of the Rhine (Rhein). Using Natural Earth data for the course and the shaded relief.
_ansgar_2021_16_1	germany,cologne,usa,roads,small multiples,lines,osm,openstreetmap	TIL there is a town called Cologne in Minnesota, USA. Cologne, MN was founded by German settlers and named after Cologne, Germany (Köln).
_ansgar_2021_16_2	germany,cologne,trees	Trees of Cologne
_ronycoelho_2021_11	africa,population,3d	My #TidyTuesday submission for this week (46). In some way, it is also a #30DayMapChallenge. My first time using the rayshader package.
aghaynes_2021_01	switzerland,points,elevation	A false colour map of part of the Swiss National Park in the Grissons, coloured based on elevation.
aghaynes_2021_02	germany,line	This is the course of the Hasenhorn Coaster in Todtnau, Schwarzwald, Germany. Line width is the altitude, colour is the speed of an actual run...
aghaynes_2021_03	world,choropleth,covid19	Deaths attributed to COVID based on data from @OurWorldInData
aghaynes_2021_04	usa,hexagons,grid,choropleth	Here's average post office age in the US... (an old #TidyTuesday dataset)
Amit_Levinson_2020_01	usa,points	Looking at Chipotle locations across the US. I also highlighted the location I most frequently vistied while staying there 😂
Amit_Levinson_2020_02	israel,tel aviv,roads,lines	Plotting the streets of Tel-Aviv, Israel.
Amit_Levinson_2020_03	israel,points	Looking at hotels in Israel. Used {httr} for the first time to call straight form an API (http://gov.il) and plotting an Israel map using a shape file.
Amit_Levinson_2020_07	usa,san francisco,green,trees	Plotting trees of San Francisco from a missed #TidyTuesday.
Amit_Levinson_2020_08	israel,beer sheva,light,yellow	Looking at Be'er Sheva light posts (with some NAs :(). Thanks to @assesslife for the help with mapbox, had a great time trying it for the first time.
Amit_Levinson_2020_20	israel,population,cartogram,animation	Made a gif transitioning between a regular <-> cartogram map with Israel's population
Amit_Levinson_2021_01	israel,tel aviv,points,trees	_
Amit_Levinson_2021_02	israel,tel aviv,roads,lines	I adapted @lxndrkp amazing piece from last year on finding the most traveled streets using the {stplanr} and some randomly generated points.
Amit_Levinson_2021_03	israel,transport,trains,voronoi	Tried out some Voronoi diagrams exploring how much land area the nearest train station covers in Israel. That outlier was a pain to deal with 👊
Amit_Levinson_2021_04	israel,transport,bus,hexagons,grid,choropleth	Number of distinct bus stops per 5km^2 hexagons across Israel. Data from Israel GTFS provided by OpenMobilityData, of all stops reported for trips on November 3rd, 2021.
Amit_Levinson_2021_05	usa,new york city,nyc,israel,jerusalem,roads,lines,osm,openstreetmap	Street directions and layout from two different places. Added some glow effect for a higher contrast on how streets are directed.
Amit_Levinson_2021_07	israel,tel aviv,transport,cycling,lines,green	Bike lanes in Tel-Aviv, IL.
Amit_Levinson_2021_08	israel,tel aviv,elevation,blue	Quick one for today plotting the area to be covered in Tel-Aviv by a 5 meter tsunami wave.
Amit_Levinson_2021_09	israel,elevation,black and white,3d	Mapped Israel's elevation in 3d with a bw theme. Amazing that this is achievable with barely any code using the {rayrender} and {elevater} packages.
Amit_Levinson_2021_10	israel,tel aviv,walking,interactive,raster	Followed up on @Jamie_Bio tutorial yesterday on using openrouteservice for walking distance and converted the format to raster 😊
Amit_Levinson_2021_11	israel,ramon crater,3d,elevation	Attempted at plotting *part* of the Ramon Crater in south of Israel. I don't think my computer was too happy with it 😅 Amazing work on the rayvista R package making it really easy working with rayshader.
Amit_Levinson_2021_13	world,israel,globe,inset	Haven't been out of the country recently...
BCalhoon7_2021_11	usa,chesapeake bay,elevation,animation,3d	A 3D rendering of a flyover of one of the most beautiful fresh bodies of water in the US.
BlakeRobMills_2021_01	usa,new york city,nyc,points	Decided to keep it simple with some Community Spaces in Manhattan. Everything is from NYC Open Data
BlakeRobMills_2021_02	spain,barcelona,germany,berlin,usa,chicago,uk,england,london,australia,melbourne,italy,milan,new york city,nyc,sydney,canada,toronto,transport,lines	Displays the bike lanes of major global cities. Data collected from each city's open data.
BlakeRobMills_2021_03	netherlands,amsterdam,usa,chicago,los angeles,italy,milan,new york city,nyc,france,paris,australia,perth,singapore,canada,toronto,parks	A sister to yesterday's one. This time showing parks in major cities
BlakeRobMills_2021_04	usa,hexagons,cartogram,choropleth,small multiples,animals	Today's map shows the change in number of bee colonies by decade compared to 1990. Data from USDA Honeybee Surveys 🐝🐝🐝
BlakeRobMills_2021_05	netherlands,amsterdam,spain,barcelona,colombia,bogota,argentina,buenos aires,egypt,cairo,venezuela,caracas,cuba,havana,finland,helsinki,india,kolkata,uk,england,london,mexico,mexico city,cdmx,italy,milan,canada,montreal,mumbai,usa,new york city,nyc,norway,oslo,france,paris,rome,iran,tehran,austria,vienna,washington dc,roads,lines,osm,openstreetmap	Visualizes the shape of major cities by showing their streets, highways, and other roads.
BlakeRobMills_2021_06	usa,baltimore,chicago,detroit,los angeles,new york city,nyc,st louis,crime,points,red	Maps show police killings plotted over HOLC's redlining maps.
BlakeRobMills_2021_07	usa,new york city,nyc,buildings,environment,green	Wanted to show how 'green' different building in Manhattan were with Energy Star Scores.
BlakeRobMills_2021_09	germany,berlin,uk,england,london,italy,milan,usa,new york city,nyc,france,paris,transport,lines,osm,openstreetmap	Mapping 5 different cities by bike lanes, train lines, water and other features.
BlakeRobMills_2021_12	usa,new york city,nyc,population,historic,choropleth,small multiples	Used ward maps from @nypl and NYS Census data to show changes in population from 1703 to 1855.
BlakeRobMills_2021_13	world,points,lines,population	Simple map showing major cities and roads of the world.
CedScherer_2019_01	usa,new york city,nyc,points,animals	No one realized it - not even @SquirrelCensus? - but the numbers on my density plot were actually not sightings but estimated neighbors 🙈 Tried several smoothing bandwidths (it was huge by default, thus the pretty gradient) and decided to make the legend descriptive instead 🐿️
CedScherer_2019_03	world,health,cartogram,choropleth	Finally, I had the chance to make some cartograms using data from an older #TidyTuesday challenge on causes of death on a global and country-level scale.
CedScherer_2019_04	usa,hexagons,cartogram,choropleth,education	Revisited a #TidyTuesday challenge that I participated in a few weeks ago - here is the remix version using a hex bin map visualizing racial diversity and its change in US schools 🎒
CedScherer_2019_05	germany,elevation,raster	Not much time today for day 5 on raster data and the high-res DGM of Germany was too big to do fancy things in such short time - so here is a simple elevation map
CedScherer_2019_06	germany,berlin,transport,u-bahn,trains,blue,osm,openstreetmap,points	Metro stops in Berlin 🚇 - you can spot the blue U-Bahn sign nearly from every location and angle in the city center but some areas can't be reached.
CedScherer_2019_07	germany,berlin,transport,trams,red,osm,openstreetmap,points	_
CedScherer_2019_08	germany,berlin,transport,s-bahn,trains,green,osm,openstreetmap,points	_
CedScherer_2019_09	germany,berlin,transport,bus,yellow,osm,openstreetmap,points	_
CedScherer_2019_10_1	world,population,points	A classic map showing the urban population of capital cities around the world based on 2019 data. Couldn't decide if classic bw or a bit of grey so here are two versions
CedScherer_2019_10_2	world,population,points	A classic map showing the urban population of capital cities around the world based on 2019 data. Couldn't decide if classic bw or a bit of grey so here are two versions
CedScherer_2019_11	germany,elevation	Thx to Day 5 and the #rayshader 📦 a quick hill shaded map of #Germany using a grid of 13 mio cells.
CedScherer_2019_12	germany,berlin,transport,roads,cycling,osm,openstreetmap	I would love to bike to work but rarely do so🚲 - my contribution to “Day 12: #Movement” shows why... 🙄 ➡️ Roads with designated cycleways versus those without in #Berlin according to @OpenStreetMaps.
CedScherer_2019_13	europe,africa,gps,animals,lines,small multiples	Finally some maps focussing on #animal #movement 🥳 -#birdmigration data of white #storks from Rotics et al. (2018) published in @AnimalEcology and available via @MovebankTeam 🛰️🌍
CedScherer_2019_14	world,boundaries,choropleth	Please enjoy this simple global map showing the number of neighbors sharing land borders together
CedScherer_2019_15	germany,berlin,names,roads,lines,osm,openstreetmap	#Berlin road network by name/suffix forming colorful networks 💛💚💜🧡💙
CedScherer_2019_16	world,dots	Extreme places on earth with regard to temperature 🥵🥶 and elevation 🏔️ per continent and depths per ocean 🌊
CedScherer_2019_17_1	world,time zones	I've already learned lots of things thanks to the #30DayMapChallenge - one major win is to get to know @Natural_Earth and the resp. #rstats📦{rnaturalearth} 🌐 by @rOpenSci! Made my catch-up contribution for today's challenge “zones” very easy 🦸‍♂️
CedScherer_2019_17_2	world,time zones	Another version with non-transparent fills for countries only 🌈
CedScherer_2019_18	world,globe,projections	Three different types of projections and two examples for each. The globe is a matter of perspective and geometry in 2D 🤷‍♂️
CedScherer_2019_19_1	world,points	Urban areas of the world as #map of  #CityLights deviated from MODIS data 🛰️ and provided by NaturalEarth 🌐
CedScherer_2019_19_2	world,points,population	Another version: a dot map showing the population of urban centers
CedScherer_2019_20	germany,berlin,osm,openstreetmap	Even though Berlin is a metropole, it has many rural areas with regard to land use types. This map shows all non-build areas such as forest, grass- and scrubland, meadows and nature reserves in the middle of the city.
CedScherer_2019_21	usa,points	Environment with data from #TidyTuesday week 38/2919 - Visitation of National Parks in the #USA
CedScherer_2019_22	germany,berlin,buildings,osm,openstreetmap	Buildings by number of levels in my home district #Moabit, the island in the heart of #Berlin 🧡
CedScherer_2019_23	world,population,choropleth	Mapping changes in annual rates of population growth by country.
CedScherer_2019_24	africa,choropleth,bivariate,health	A bivariate map showing mean and variance of annual Malaria death rates in African countries from 1990 to 2016, using data from the WHO.
CedScherer_2019_25	world,climate	Visualization of Köppen-Geiger climate classification based on updated zones provided by Kottek et al. in 2006. Decided to show not all 32 subcategories, 14 already made it though to find colours.
CedScherer_2019_26	world,rivers	Aimed for a colorful Basin map but couldn't find any good data so focussed more on design with a simple map of the rivers of the world.
CedScherer_2019_27	germany,berlin,transport,electric cars,infrastructure,points	Resources (for your electric car) - quick map of charging stations for #ElectricCar in Berlin 🚗🔌
CedScherer_2019_29	world,population	The idea for Day 29 “Experimental” evolved quite some time ago - and I am very happy with the result of world population stripes! Each stripe represents the distribution of humans on a latitudinal gradient from North to South and a width of 25km.
ckauebraga_2021_01	brazil,fortaleza,sao paulo,points,transport,osm,openstreetmap	Distribution of shared bicycle stations, size proportional to the capacity of each station. Fortaleza and São Paulo
ckauebraga_2021_02	brazil,rio de janeiro,sao paulo,fortaleza,recife,curitiba,lines,transport	Public transport network in 5 major Brazilian cities. Those so easy to guess, right?
CoulSim_2021_02	canada,rail,lines,historic	The Canadian Pacific Railway connecting British-Columbia to Eastern Canada was built between 1881 and 1885.
CoulSim_2021_03	canada,quebec,camping	Public land in Quebec. Camping is allowed on most public land in Quebec, but the government doesn't have a map showing where camping actually is allowed.
Cramsuig_2021_07	mexico,uk,usa,personal,green	_
Cramsuig_2021_08	north america,south america,rivers,lakes,blue	Americas' rivers and lakes
Cramsuig_2021_09	africa,choropleth,green,animation	Literacy rates in Africa, 1960-2020
Cramsuig_2021_10	mexico,guerrero,raster,elevation	State of Guerrero, México
Cramsuig_2021_11	mexico,guerrero,raster,elevation,3d	State of Guerrero, México
dakvid_2019_14	new zealand,nz,carterton,boundaries,animation,inset	Using {gganimate} to help us see what Stats NZ's small area boundary changes mean for Carterton district.
dakvid_2019_18	world,antarctica,lines,globe,interactive	I linked up territories in Antarctica with their controlling countries.
dakvid_2020_04	new zealand,nz,hexagons,cartogram,politics,elections,interactive	An interactive map of NZ electorate wins by party.
dakvid_2020_05	new zealand,nz,dorling,cartogram,politics,elections,blue	Dorling cartograms of votes for the National Party in the last three New Zealand elections
dakvid_2020_06	new zealand,nz,dorling,cartogram,politics,elections,red	Dorling cartograms of votes for the Labour Party in the last three New Zealand elections
dakvid_2020_07	new zealand,nz,dorling,cartogram,politics,elections,green	Dorling cartograms of votes for the Green Party in the last three New Zealand elections
dakvid_2020_08	new zealand,nz,dorling,cartogram,politics,elections,yellow	Dorling cartograms of votes for the ACT Party in the last three New Zealand elections
dakvid_2020_09	new zealand,nz,dorling,cartogram,politics,elections,monochrome	Dorling cartograms of votes for the NZ First in the last three New Zealand elections
dakvid_2020_15	new zealand,nz,lines	Linking each urban and rural settlement to the closest more populous one. (Copying @AndriyYaremenko)
dakvid_2021_02	new zealand,nz,roads,names	Are the street names in my town Māori or English? Interestingly it seems to be the oldest and newest names in te reo Māori.
dakvid_2021_03	new zealand,nz	I looked at the outlines of Auckland's local boards
dakvid_2021_04	new zealand,nz,earthquakes,hexagons,grid	Another earthquake heatmap, but maybe not as bad as the other one 🤷‍♂️ It was nice to discover sf::st_make_grid was surprisingly easy to work with.
dakvid_2021_05	new zealand,nz,hamilton,roads	The streets of Hamilton (the one closest to me). Yes, I technically didn't use OSM for this, but I've used it elsewhere, and the LINZ data goes into OSM anyway.
dakvid_2021_06	new zealand,nz,roads,red	I tried to make a red rātā flower with all the Rata Streets. Not quite as fancy as I'd hoped, but interesting to try 😀
dakvid_2021_07	new zealand,nz,reads	Street grids of New Zealand cities. Using the #00973f green from NZTA road signs 😃
dakvid_2021_08	new zealand,nz,wellington,lines,roads,blue,osm,openstreetmap	I'm hoping to go into the office on Monday after a break of 55 days. So here's Wellington CBD centred on the office, in the corporate colour(s).
dakvid_2021_09	new zealand,nz,population,black and white	I split New Zealand's population into quarters, in both directions. Inspired by similar maps by others; took much longer than I expected to figure out, but I learned 🤷‍♂️
dakvid_2021_10	new zealand,nz,kapiti island,raster,elevation,3d	Kāpiti Island, which I can see from my lounge.
dakvid_2021_11	new zealand,nz,christchurch,population,3d	Here's the population (density) of Christchurch, New Zealand.
dakvid_2021_12	new zealand,nz,hastings,napier,population,3d	An easy catch up, adapting day 11 code to show 3d population density of part of Hawke's Bay, New Zealand. Napier is in the middle, and Havelock North / Hastings / Flaxmere on the left.
dakvid_2021_13	world,personal bounding box	Following many others, my personal bounding box, using Natural Earth country boundaries. There's much to explore with NE, but it will have to be another time!
dakvid_2021_16	new zealand,nz,hamilton,urban,boundaries	Recently(ish) @Stats_NZ changed the official geographical classification system, which gave us better urban area definitions.
dakvid_2021_20	new zealand,nz,earthquakes,hexagons,grid,choropleth,animation	Adapting the hexagon heatmap to show NZ earthquakes by month over 15 years.
dakvid_2021_21	new zealand,nz,kapiti island,elevation,contours,3d,animation	Kapiti Island contours in neon and 3d. Starting to figure out #rayrender! ❤️‍🔥 Could be tweaked further, but it took 3h to render the animation, so I'm good for now 😁
dakvid_2021_23	new zealand,nz,built up area,density,3d	What do you do if you have no time to explore a completely new set of data series? You adapt someone else's code of course. Thanks @schochastics 😁
dakvid_2021_24	world,trade,food	NZ onion exports last year. Thinking historical as my colleagues at @InfometricsNZ wrote a report for OnionsNZ on future export market opportunities
dakvid_2021_25	new zealand,nz,boundaries,interactive	New Zealand has 16 RCs, 65 TAs, 130 LBs/CBs, 226 Wards, 21 DHBs, 65 GEs & 7 MEs. And together they create 446 intersections - now you can explore in Leaflet! [The link is to an oversimplified 4MB version. To see a more detailed but 14MB version, remove '_small' from the URL.]
dakvid_2021_26	new zealand,nz,choropleth	Startups in New Zealand, at least according to @CallaghanNZ's Scale-Up NZ.
dakvid_2021_27	new zealand,nz,heatmap,earthquakes	I've never been a big fan of heatmaps, so I'm not too ashamed to bring you a sub-par heatmap of NZ earthquakes >= M4 over 15 years. The heat is number, not magnitude 🤷‍♂️ Stamen watercolour is nice though
dakvid_2021_28	world	I've enjoyed learning more about projections - the Adams square 2 is the closest I can get to Spilhaus for now
dakvid_2021_29	world,new zealand,nz	I couldn't avoid #MapsWithoutNewZealand. But usually it's because we get dropped off the edge, so let's do it properly! 😄 And a chance to try out a Lambert azimuthal equal-area projection.
darwinanddavis_2020_01	world,usa,poland,romania,points,shops,interactive	COFFEE. At least, my favourite coffee places around the world
darwinanddavis_2020_04	usa,atlanta,transport,hexagons,3d,interactive	Mapping my @lyft ride activity over two years
darwinanddavis_2020_06	usa,new york city,nyc,animals,density,interactive,red	Squirrels! Squirrel sightings in Central Park from @NYCDoITT
darwinanddavis_2020_08	world,australia,points,yellow,trade,exports,interactive	Honey 🍯 Australian honey export trade
darwinanddavis_2020_09	usa,raster,orange	Monochromatic DEM of the Appalachian Trail + my hiking spots for good measure. More an exercise on what palettes work well with rasters to highlight that super rich terrain detail 🍊
darwinanddavis_2020_10	australia,melbourne,buildings	Lots of cool minimal maps from talented folx in this challenge, so heres a fun one showing the classic grid of my home city @Melbourne. Also practicing my text layout (s/o ggtext)
darwinanddavis_2020_11	australia,melbourne,trees,3d,interactive	Urban trees 🌴 More cool @cityofmelbourne data exploring the vulnerability of the city urban forest based on tree lifespan w/ height/age/density
darwinanddavis_2020_14	vietnam,climate,agriculture,choropleth	Climate risk of crops in Vietnam 🌱 I found some data @BiovIntCIAT_Lib on climate risk indices for Vietnam that looked cool. Exploring coffee, cashew, and cassava crop risk
darwinanddavis_2020_16	japan,picture	Any Ghibli fans? My challenge was plotting images within polygons. Easy with design software, but can it be done with R? Spoiler, it can. Cheers to StackOverflow for the code, not trivial
darwinanddavis_2020_20	australia,population,density,animals	🐪 Camels in Australia. Yes, Aus has camels. 1M+ @ 40% land cover. Just roaming. So many camels my laptop almost blew up mapping them
darwinanddavis_2020_23	world,russia,migration,lines,animation,interactive	70 years of Russian refugee migration. Read: no border boundaries + homage to my heritage (my parents are in these data) + playing w/ animated arcs
darwinanddavis_2020_25	world,health,covid19,interactive	If you're not yet sick of C19, who are you really, but here's a previous analysis I did that has been pulling global data daily since Feb this year
darwinanddavis_2020_30	world,points,interactive	Using a Shiny project I just finished (feedback welcome). Map @Airbnb open data comparing listings among cities using criteria - rating/cancel policy/roomtype etc. Like an analytics UI for Airbnb
darwinanddavis_2021_01	southeast asia,philippines,indonesia,earthquakes,points	Rumble in SE Asia - 500 years of earthquakes.
darwinanddavis_2021_07	brazil,landuse,green	Brazil - Classifying major ecoregions
darwinanddavis_2021_11	australia,population,3d,heatmap,animals	Avian airstrike - Aircraft-bird strikes across Australia 2008-2017. Nice, rich dataset and will probably use this again for a deeper analysis
dr_xeo_2021_05	world,osm,openstreetmap,points,firefly	World's lighthouses. (Code link is to a blog post about the firefly style. Tweet links to a 2018 blog post on accessing OpenStreetMap.)
FGazzelloni_2021_01	world,points	Inspired by #DuBoisChallenge for the structure of the map - data are from #TidyTuesday week44 Ultra Trail Running Datasource: @BjnNowak
FGazzelloni_2021_02	france,lines,boundaries	As simple as a geom_line for France regions, the colors of the map are from colorspace::rainbow_hcl
FGazzelloni_2021_03	finland,aland islands	Åland Islands (Finland) made with wrld_simpl {maptools}
FGazzelloni_2021_04	usa,boston,population,hexagons,density	Boston city (Massachusetts) Housing data from {spData}. #Hexagons represent lower status population (percentage values) concentration in the tract borders Charles River. (in the little map is the Boston Area).
FGazzelloni_2021_05	germany,berlin,water,osm,openstreetmap	Berlin WATER - for this map I decided to used {leaflet} package and add some information about water in Berlin with {osmdata} package.
FGazzelloni_2021_06	usa,climate,red,animation	US Drought - for this map I recycled #tidytuesdayR::tt_load(2021, week = 30) and - made it RED (maybe not right for draught), {gganimate} the first months of 2021 for state variation.
FGazzelloni_2021_07	uk,england,london,transport,green,osm,openstreetmap	'Map of Greater London with cycle hire' data loaded from #OpenStreetMap data and {spData} package. My challenge was the border of the London map 📌
