mapid	code_link	sm_link	web_link
_ansgar_2021_01	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day01-points.R	https://twitter.com/_ansgar/status/1455091416917544961	_
_ansgar_2021_02	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day02-lines.R	https://twitter.com/_ansgar/status/1455629597907824650	_
_ansgar_2021_03	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day03-polygons-football-clubs.R	https://twitter.com/_ansgar/status/1456000124228882441	_
_ansgar_2021_04	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day04_hexagons.R	https://twitter.com/_ansgar/status/1456386508517150722	_
_ansgar_2021_05	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day05-data_osm-bike-lanes.R	https://twitter.com/_ansgar/status/1456746228763566081	_
_ansgar_2021_06	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day06-red.R	https://twitter.com/_ansgar/status/1457036042196893699	_
_ansgar_2021_07	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day07-green.R	https://twitter.com/_ansgar/status/1457278546553065474	_
_ansgar_2021_08	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day08-blue-housing.R	https://twitter.com/_ansgar/status/1457799587658276864	_
_ansgar_2021_09_1	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day09-monochrome-streets.R	https://twitter.com/_ansgar/status/1457853009971589123	_
_ansgar_2021_09_2	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day09-monochrome-buildings.R	https://twitter.com/_ansgar/status/1458162957662236678	_
_ansgar_2021_11	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day11-3d.R	https://twitter.com/_ansgar/status/1458936081202786310	https://raw.githubusercontent.com/bydata/30DayMapChallenge-2021/main/plots/day11-3d-turnout.mp4
_ansgar_2021_12	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day12-population.R	https://twitter.com/_ansgar/status/1459245270466707458	https://github.com/bydata/30DayMapChallenge-2021/blob/main/plots/day12-population-animated.gif
_ansgar_2021_13	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day13-naturalearth.R	https://twitter.com/_ansgar/status/1459639073350504450	_
_ansgar_2021_16_1	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day16-urban-rural-de-us.R	https://twitter.com/_ansgar/status/1460739990858698758	_
_ansgar_2021_16_2	https://github.com/bydata/30DayMapChallenge-2021/blob/main/R/day16-urban-rural-trees.R	https://twitter.com/_ansgar/status/1460537368574889985	_
aghaynes_2021_01	https://github.com/aghaynes/tidytuesdays/blob/main/30daymapchallenge/01_point/readme.Rmd	https://twitter.com/aghaynes/status/1455275503020085250	_
aghaynes_2021_02	https://github.com/aghaynes/tidytuesdays/blob/main/30daymapchallenge/02_line/readme.Rmd	https://twitter.com/aghaynes/status/1455643441413689353	_
aghaynes_2021_03	https://github.com/aghaynes/tidytuesdays/blob/main/30daymapchallenge/03_polygon/03_polygon.R	https://twitter.com/aghaynes/status/1456022517081120774	_
aghaynes_2021_04	https://github.com/aghaynes/tidytuesdays/blob/main/30daymapchallenge/04_hex/USpostofficesmap_hex.R	https://twitter.com/aghaynes/status/1456266779026620428	_
Amit_Levinson_2020_01	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/01_points/01_points.R	https://twitter.com/Amit_Levinson/status/1322923021120737281	_
Amit_Levinson_2020_02	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/02_lines/02_lines.R	https://twitter.com/Amit_Levinson/status/1323263691723333632	_
Amit_Levinson_2020_03	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/03_Polygons/03_polygons.R	https://twitter.com/Amit_Levinson/status/1323734300001509377	_
Amit_Levinson_2020_07	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/07_green/07_green.R	https://twitter.com/Amit_Levinson/status/1325124153582772225	_
Amit_Levinson_2020_08	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/08_yellow/08_yellow.R	https://twitter.com/Amit_Levinson/status/1325494620025991168	_
Amit_Levinson_2020_20	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/20_population/population.R	https://twitter.com/Amit_Levinson/status/1329797082828386305	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2020/Code/20_population/20_map.gif
Amit_Levinson_2021_01	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/01_points/01_points.R	https://twitter.com/Amit_Levinson/status/1455246267668439040	_
Amit_Levinson_2021_02	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/02_lines/lines.R	https://twitter.com/Amit_Levinson/status/1455403482731753473	_
Amit_Levinson_2021_03	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/03_polygons/trains.R	https://twitter.com/Amit_Levinson/status/1455766113367871491	_
Amit_Levinson_2021_04	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/04_hexagons/busstops.R	https://twitter.com/Amit_Levinson/status/1456338894056722436	_
Amit_Levinson_2021_05	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/05_osm/streets.R	https://twitter.com/Amit_Levinson/status/1456699807079280642	_
Amit_Levinson_2021_07	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/07_green/bikelanes.R	https://twitter.com/Amit_Levinson/status/1457426809184735236	_
Amit_Levinson_2021_08	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/08_blue/wave.R	https://twitter.com/Amit_Levinson/status/1457800886852329473	_
Amit_Levinson_2021_09	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/09_monochrome/monochrome.R	https://twitter.com/Amit_Levinson/status/1457940340149739520	_
Amit_Levinson_2021_10	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/10_raster/walking.R	https://twitter.com/Amit_Levinson/status/1458303071319121921	https://amitlevinson.github.io/30daymapchallenge/2021/10_raster/walk_from_dizengof.html
Amit_Levinson_2021_11	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/11_3d/3d.R	https://twitter.com/Amit_Levinson/status/1458910831983398913	_
Amit_Levinson_2021_13	https://github.com/AmitLevinson/30daymapchallenge/blob/main/2021/13_natural-earth/visited.R	https://twitter.com/Amit_Levinson/status/1459555420964597768	_
BCalhoon7_2021_11	https://github.com/DABrianC/Chesapeake-Bay-Fly-Over	https://twitter.com/BCalhoon7/status/1458866356191961092	_
BlakeRobMills_2021_01	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%201%20(Points)/Day%201%20(Points).R	https://twitter.com/BlakeRobMills/status/1455383350613626883	_
BlakeRobMills_2021_02	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%202%20(Lines)/Day%202%20(Lines).R	https://twitter.com/BlakeRobMills/status/1455691876091170820	_
BlakeRobMills_2021_03	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%203%20(Polygon)/Day%203%20(Polygons).R	https://twitter.com/BlakeRobMills/status/1456108247568560129	_
BlakeRobMills_2021_04	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%204%20(Hexagons)/Day%204%20(Hex).R	https://twitter.com/BlakeRobMills/status/1456439375223472128	_
BlakeRobMills_2021_05	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%205%20(Open%20Street%20Maps)/Day%205%20(OpenStreetMap).R	https://twitter.com/BlakeRobMills/status/1456999383657066502	_
BlakeRobMills_2021_06	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%206%20(Red)/Day%206%20(Red).R	https://twitter.com/BlakeRobMills/status/1457451943773810700	_
BlakeRobMills_2021_07	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%207%20(Green)/Day%207%20(Green).R	https://twitter.com/BlakeRobMills/status/1457802230615068679	_
BlakeRobMills_2021_09	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%209%20(Monochrome)/Day%209%20(Monochrome).R	https://twitter.com/BlakeRobMills/status/1458415001098665985	_
BlakeRobMills_2021_12	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%2012%20(Population)/Day%2012%20(Population).R	https://twitter.com/BlakeRobMills/status/1459352762773389314	_
BlakeRobMills_2021_13	https://github.com/BlakeRMills/30DayMapChallenge/blob/main/Day%2013%20(Natural%20Earth)/Day%2013%20(Natural%20Earth).R	https://twitter.com/BlakeRobMills/status/1459640169305419776	_
CedScherer_2019_01	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day01_Points/1_Points.Rmd	https://twitter.com/CedScherer/status/1190284257324916736	_
CedScherer_2019_03	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day03_Polygons/3_Polygons.Rmd	https://twitter.com/CedScherer/status/1191118604403646470	_
CedScherer_2019_04	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day04_Hexagons/4_Hexagons.Rmd	https://twitter.com/CedScherer/status/1191414799214817280	_
CedScherer_2019_05	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day05_Raster/5_Raster.Rmd	https://twitter.com/CedScherer/status/1191845427831853056	_
CedScherer_2019_06	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day06_Blue/6_Blue.Rmd	https://twitter.com/CedScherer/status/1192171738659983361	_
CedScherer_2019_07	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day07_Red/7_Red.Rmd	https://twitter.com/CedScherer/status/1193229896513998850	_
CedScherer_2019_08	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day08_Green/8_Green.Rmd	https://twitter.com/CedScherer/status/1193229896513998850	_
CedScherer_2019_09	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day09_Yellow/9_Yellow.Rmd	https://twitter.com/CedScherer/status/1193229896513998850	_
CedScherer_2019_10_1	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day10_BlackWhite/10_BlackWhite.Rmd	https://twitter.com/CedScherer/status/1193623659027615744	_
CedScherer_2019_10_2	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day10_BlackWhite/10_BlackWhite.Rmd	https://twitter.com/CedScherer/status/1193623659027615744	_
CedScherer_2019_11	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day11_Elevation/11_Elevation.Rmd	https://twitter.com/CedScherer/status/1193954708920131585	_
CedScherer_2019_12	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day12_Movement/12_Movement.Rmd	https://twitter.com/CedScherer/status/1194325214156460032	_
CedScherer_2019_13	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day13_Tracks/13_Tracks.Rmd	https://twitter.com/CedScherer/status/1194749281783164928	_
CedScherer_2019_14	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day14_Boundaries/14_Boundaries.Rmd	https://twitter.com/CedScherer/status/1195051589570052097	_
CedScherer_2019_15	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day15_Names/15_Names.Rmd	https://twitter.com/CedScherer/status/1195420409434382336	https://raw.githubusercontent.com/z3tt/30DayMapChallenge/master/contributions/Day15_Names/Names_BerlinRoads_HQ.png
CedScherer_2019_16	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day16_Places/16_Places.Rmd	https://twitter.com/CedScherer/status/1196072956310503429	_
CedScherer_2019_17_1	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day17_Zones/17_Zones.Rmd	https://twitter.com/CedScherer/status/1196131149074063361	_
CedScherer_2019_17_2	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day17_Zones/17_Zones.Rmd	https://twitter.com/CedScherer/status/1196137898711638016	_
CedScherer_2019_18	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day18_Globe/18_Globe.Rmd	https://twitter.com/CedScherer/status/1196516390896914432	_
CedScherer_2019_19_1	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day19_Urban/19_Urban.Rmd	https://twitter.com/CedScherer/status/1196870225171537921	_
CedScherer_2019_19_2	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day19_Urban/19_Urban.Rmd	https://twitter.com/CedScherer/status/1196900557203607559	_
CedScherer_2019_20	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day20_Rural/20_Rural.Rmd	https://twitter.com/CedScherer/status/1197281624657977344	_
CedScherer_2019_21	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day21_Environment/21_Environment.Rmd	https://twitter.com/CedScherer/status/1212820692888178688	_
CedScherer_2019_22	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day22_BuiltEnvironment/22_BuiltEnvironment.Rmd	https://twitter.com/CedScherer/status/1198680636812341249	_
CedScherer_2019_23	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day23_Population/23_Population.Rmd	https://twitter.com/CedScherer/status/1198357926987096066	_
CedScherer_2019_24	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day24_Statistics/24_Statistics.Rmd	https://twitter.com/CedScherer/status/1198617063054553088	_
CedScherer_2019_25	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day25_Climate/25_Climate.Rmd	https://twitter.com/CedScherer/status/1199256431947636737	_
CedScherer_2019_26	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day26_Hydrology/26_Hydrology.Rmd	https://twitter.com/CedScherer/status/1201105673477476353	_
CedScherer_2019_27	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day27_Resources/27_Resources.Rmd	https://twitter.com/CedScherer/status/1199775322473930754	_
CedScherer_2019_29	https://github.com/z3tt/30DayMapChallenge/blob/master/contributions/Day29_Experimental/29_Experimental.Rmd	https://twitter.com/CedScherer/status/1201450655099113472	_
ckauebraga_2021_01	https://github.com/kauebraga/misc/blob/master/30daymapchallenge/2-20211111_bike_sharing.R	https://twitter.com/ckauebraga/status/1458896292114051076	_
ckauebraga_2021_02	https://github.com/kauebraga/misc/blob/master/30daymapchallenge/1-20211110_transit_networks.R	https://twitter.com/ckauebraga/status/1458593981508509705	_
CoulSim_2021_02	https://github.com/SimonCoulombe/30DaysMapChallenge/blob/main/2021_02_lines/20211102_historical_railroads.R	https://twitter.com/CoulSim/status/1455721232893194244	_
CoulSim_2021_03	https://github.com/SimonCoulombe/30DaysMapChallenge/blob/main/2021_03_polygons/domanialite_qc.R	https://twitter.com/CoulSim/status/1456091143402397699	_
Cramsuig_2021_07	https://github.com/cramsuig/30DayMapChallenge/blob/main/2021/code/2021-11-07.R	https://twitter.com/Cramsuig/status/1457521227367690246	_
Cramsuig_2021_08	https://github.com/cramsuig/30DayMapChallenge/blob/main/2021/code/2021-11-08.R	https://twitter.com/Cramsuig/status/1457884053391257600	_
Cramsuig_2021_09	https://github.com/cramsuig/30DayMapChallenge/blob/main/2021/code/2021-11-09.R	https://twitter.com/Cramsuig/status/1458265105603379201	https://raw.githubusercontent.com/cramsuig/30DayMapChallenge/main/2021/img/2021-11-09.gif
Cramsuig_2021_10	https://github.com/cramsuig/30DayMapChallenge/blob/main/2021/code/2021-11-11.R	https://twitter.com/Cramsuig/status/1458972872161046529	_
Cramsuig_2021_11	https://github.com/cramsuig/30DayMapChallenge/blob/main/2021/code/2021-11-11.R	https://twitter.com/Cramsuig/status/1458975695158366216	_
dakvid_2019_14	https://github.com/dakvid/map30days/blob/master/docs/14_boundaries_carterton.R	https://twitter.com/dakvid/status/1195549657889308672	https://david.frigge.nz/map30days/#14_boundaries
dakvid_2019_18	https://github.com/dakvid/map30days/blob/master/docs/18_globe_antarctica.R	https://twitter.com/dakvid/status/1196372409852387328	https://david.frigge.nz/map30days/#18_globe
dakvid_2020_04	https://github.com/dakvid/election2020/blob/main/hexmaps.Rmd	https://twitter.com/dakvid/status/1325153487680794631	https://david.frigge.nz/election2020/hexmaps.html
dakvid_2020_05	https://gist.github.com/dakvid/1d1b59ba3dcec59c6370b78c4e4edb72	https://twitter.com/dakvid/status/1335149534092034051	_
dakvid_2020_06	https://gist.github.com/dakvid/1d1b59ba3dcec59c6370b78c4e4edb72	https://twitter.com/dakvid/status/1335149540488355840	_
dakvid_2020_07	https://gist.github.com/dakvid/1d1b59ba3dcec59c6370b78c4e4edb72	https://twitter.com/dakvid/status/1335149546972663808	_
dakvid_2020_08	https://gist.github.com/dakvid/1d1b59ba3dcec59c6370b78c4e4edb72	https://twitter.com/dakvid/status/1335149552945401858	_
dakvid_2020_09	https://gist.github.com/dakvid/1d1b59ba3dcec59c6370b78c4e4edb72	https://twitter.com/dakvid/status/1335149558955790338	_
dakvid_2020_15	https://gist.github.com/dakvid/982a017f46556806e33fd3b520877ce2	https://twitter.com/dakvid/status/1335318704393875456	_
dakvid_2021_03	https://gist.github.com/dakvid/f10a75cf490d065f9f8ed4dab5e26cde	https://twitter.com/dakvid/status/1457043311953276931	_
dakvid_2021_06	https://gist.github.com/dakvid/a6ef2412ada0de051dac7b6fbe089d94	https://twitter.com/dakvid/status/1459363971459285000	_
dakvid_2021_08	https://gist.github.com/dakvid/23b3111ddb37da97d7ce5b1135d630dd	https://twitter.com/dakvid/status/1459375929084444675	_
dakvid_2021_10	https://gist.github.com/dakvid/a10005a13cfcab690f14d44064f00c65	https://twitter.com/dakvid/status/1460544441551261696	_
dakvid_2021_11	https://gist.github.com/dakvid/b1f4b3854f4c1f2fa5668c178b729ce2	https://twitter.com/dakvid/status/1461132501670195205	_
dakvid2021_02	https://gist.github.com/dakvid/3ac800dd8925e91da261d4a3f7aecc66	https://twitter.com/dakvid/status/1455485096652251137	_
darwinanddavis_2020_01	https://github.com/darwinanddavis/worldmaps/blob/gh-pages/docs/30daymap2020/day1.R	https://twitter.com/darwinanddavis/status/1323216612615286785	https://darwinanddavis.github.io/worldmaps/30daymap2020/day1
darwinanddavis_2020_04	https://github.com/darwinanddavis/worldmaps/blob/gh-pages/docs/30daymap2020/day4.R	https://twitter.com/darwinanddavis/status/1324309703984259072	https://darwinanddavis.github.io/worldmaps/30daymap2020/day4
darwinanddavis_2020_06	https://github.com/darwinanddavis/worldmaps/blob/gh-pages/docs/30daymap2020/day6.R	https://twitter.com/darwinanddavis/status/1324710403222331393	https://darwinanddavis.github.io/worldmaps/30daymap2020/day6
darwinanddavis_2020_08	https://github.com/darwinanddavis/worldmaps/blob/gh-pages/docs/30daymap2020/day8.R	https://twitter.com/darwinanddavis/status/1325398614366056448	https://darwinanddavis.github.io/worldmaps/30daymap2020/day8
